1,1,Start,'13:20:42'
2,1,Success,'13:29:32'
3,2,Start,'16:10:20'
4,2,Success,'16:20:29'
5,3,Start,'13:28:20'
6,3,Success,'13:32:29'
7,4,Start,'15:30:02'
8,4,Success,'15:32:29'
9,5,Start,'15:42:42'
10,5,Success,'15:48:55'
11,6,Start,'16:28:20'
12,6,Success,'16:29:29'
13,9,Start,'15:31:25'
14,9,Success,'15:35:21'
15,10,Start,'12:44:29'
16,10,Success,'12:45:20'
17,11,Start,'10:35:20'
18,11,Success,'10:38:10'
19,12,Start,'10:37:15'
20,12,Success,'10:38:02'
21,14,Start,'15:30:29'
22,14,Success,'15:38:20'
23,15,Start,'16:45:29'
24,15,Success,'16:48:20'
25,16,Start,'10:37:12'
26,16,Success,'10:38:20'
27,19,Start,'15:30:42'
28,19,Success,'15:38:32'
29,20,Start,'16:45:29'
30,20,Success,'16:48:20'
31,21,Start,'10:32:00'
32,21,Success,'10:42:00'
33,22,Start,'10:45:00'
34,22,Success,'10:55:00'
